 @TYPE xy
       -0.419        3.054
       -0.360        2.952
       -0.299        2.850
       -0.251        2.749
       -0.213        2.647
       -0.181        2.545
       -0.154        2.443
       -0.130        2.341
       -0.108        2.240
       -0.088        2.138
       -0.069        2.036
       -0.051        1.934
       -0.034        1.832
       -0.017        1.731
       -0.001        1.629
        0.016        1.527
        0.034        1.425
        0.053        1.323
        0.075        1.222
        0.099        1.120
        0.128        1.018
        0.161        0.916
        0.196        0.814
        0.226        0.713
        0.250        0.611
        0.265        0.509
        0.273        0.407
        0.273        0.305
        0.264        0.204
        0.242        0.102
        0.000        0.000
 &
 @TYPE xy
       -0.528        3.243
       -0.467        3.135
       -0.404        3.027
       -0.353        2.919
       -0.311        2.811
       -0.275        2.703
       -0.242        2.595
       -0.213        2.487
       -0.186        2.379
       -0.160        2.270
       -0.135        2.162
       -0.111        2.054
       -0.086        1.946
       -0.062        1.838
       -0.036        1.730
       -0.008        1.622
        0.023        1.514
        0.058        1.406
        0.098        1.297
        0.145        1.189
        0.195        1.081
        0.245        0.973
        0.288        0.865
        0.320        0.757
        0.341        0.649
        0.353        0.541
        0.357        0.432
        0.351        0.324
        0.330        0.216
        0.284        0.108
        0.000        0.000
 &
 @TYPE xy
       -0.546        3.228
       -0.483        3.121
       -0.418        3.013
       -0.364        2.906
       -0.320        2.798
       -0.282        2.690
       -0.248        2.583
       -0.216        2.475
       -0.186        2.367
       -0.158        2.260
       -0.131        2.152
       -0.104        2.045
       -0.077        1.937
       -0.050        1.829
       -0.021        1.722
        0.011        1.614
        0.044        1.507
        0.081        1.399
        0.120        1.291
        0.161        1.184
        0.203        1.076
        0.242        0.969
        0.278        0.861
        0.307        0.753
        0.329        0.646
        0.344        0.538
        0.350        0.430
        0.350        0.323
        0.339        0.215
        0.312        0.108
        0.000        0.000
 &
 @TYPE xy
       -0.597        2.986
       -0.536        2.886
       -0.470        2.787
       -0.415        2.687
       -0.371        2.588
       -0.331        2.488
       -0.295        2.389
       -0.259        2.289
       -0.222        2.190
       -0.185        2.090
       -0.146        1.991
       -0.104        1.891
       -0.060        1.792
       -0.012        1.692
        0.039        1.593
        0.093        1.493
        0.151        1.393
        0.201        1.294
        0.220        1.194
        0.237        1.095
        0.259        0.995
        0.276        0.896
        0.285        0.796
        0.283        0.697
        0.275        0.597
        0.262        0.498
        0.248        0.398
        0.231        0.299
        0.206        0.199
        0.153        0.100
        0.000        0.000
 &
